Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East_Asia	Distance to cluster Europe	Distance to cluster South_Asia
GTEX-U8XE-0004-SM-5URB8	-	-	Europe	Europe	0.08260	0.08691	0.00857	0.04719
GTEX-UJHI-0001-SM-5SOEU	-	-	-	Africa	0.01063	0.09032	0.07502	0.07105
GTEX-UJMC-0002-SM-5SOEI	-	-	-	Africa	0.01463	0.08758	0.06804	0.06578
GTEX-UPIC-0004-SM-5SOEF	-	-	Europe	Europe	0.08077	0.08667	0.00831	0.04685
GTEX-UPJH-0002-SM-5SOE9	-	-	Europe	Europe	0.08184	0.08656	0.00816	0.04680
GTEX-UPK5-0002-SM-5SOE3	-	-	Europe	Europe	0.08242	0.08670	0.00835	0.04697
GTEX-UTHO-0003-SM-5SOE4	-	-	-	Europe	0.08328	0.08822	0.00986	0.04849
GTEX-V955-0001-SM-5SOEE	-	-	-	Europe	0.08346	0.08804	0.00972	0.04833
GTEX-VJYA-0003-SM-5SOED	-	-	-	Africa	0.01089	0.09376	0.08191	0.07670
GTEX-VUSH-0002-SM-5SOEH	-	-	-	Africa	0.01172	0.09446	0.08176	0.07704
GTEX-W5WG-0003-SM-5URC3	-	-	-	Europe	0.08287	0.08770	0.00933	0.04796
GTEX-W5X1-0002-SM-5URBS	-	-	-	Africa	0.01075	0.09385	0.08409	0.07790
GTEX-WCDI-0001-SM-5SOE7	-	-	-	Africa	0.01219	0.09452	0.08061	0.07647
GTEX-WFG7-0002-SM-5SOEQ	-	Europe	Europe	Europe	0.07956	0.08291	0.00450	0.04313
GTEX-WFJO-0003-SM-5URBP	-	-	-	Europe	0.08269	0.08730	0.00894	0.04757
GTEX-WFON-0003-SM-5URD4	-	-	-	Europe	0.08269	0.08749	0.00912	0.04775
GTEX-WHPG-0002-SM-5URBH	-	-	-	Europe	0.07187	0.06620	0.01230	0.02637
GTEX-WHSB-0004-SM-5URDE	-	-	Europe	Europe	0.08211	0.08696	0.00857	0.04721
GTEX-WHWD-0002-SM-5SOEC	-	-	Europe	Europe	0.08256	0.08700	0.00864	0.04727
GTEX-WK11-0002-SM-5SOET	-	-	-	Europe	0.08242	0.08728	0.00889	0.04753
GTEX-WL46-0002-SM-5SOE8	-	-	Europe	Europe	0.08175	0.08578	0.00741	0.04604
GTEX-WOFM-0003-SM-5JK3H	-	-	-	Europe	0.08287	0.08751	0.00915	0.04778
GTEX-WVLH-0001-SM-5SOE6	-	-	Europe	Europe	0.08216	0.08553	0.00725	0.04583
GTEX-WWYW-0004-SM-5URDN	-	-	Europe	Europe	0.08233	0.08631	0.00798	0.04659
GTEX-WXYG-0001-SM-5SOE5	-	-	-	Africa	0.01122	0.09308	0.07900	0.07478
GTEX-WY7C-0002-SM-5URBW	-	-	-	Europe	0.08260	0.08729	0.00892	0.04755
GTEX-WYJK-0001-SM-5URBR	-	-	Europe	Europe	0.08251	0.08652	0.00819	0.04680
GTEX-WZTO-0002-SM-5URDU	-	Europe	Europe	Europe	0.07978	0.08322	0.00481	0.04344
GTEX-X261-0002-SM-5URDP	-	-	Europe	Europe	0.08184	0.08579	0.00743	0.04605
GTEX-X3Y1-0002-SM-5URCV	-	-	-	Africa	0.01082	0.08956	0.07380	0.06996
GTEX-X4EO-0003-SM-5URCE	-	-	Europe	Europe	0.08260	0.08672	0.00839	0.04700
